Name,RA,DEC,Distance (pc),Ever Observable(I),Always Observable(I),Ever Observable(SE),Always Observable(SE),Fraction of observable time (I),Fraction of observable time (SE)
TIC468574941,1.078996,74.331306,292.0902,True,True,True,False,1.0,0.6329787234042553
TIC420645189,3.224695,75.268379,159.2179,True,True,True,False,1.0,0.7712765957446809
TIC103195323,4.171532,75.170931,382.8337,True,True,True,False,1.0,0.7819148936170213
TIC103448870,4.455666,73.023689,125.3054,True,True,True,False,1.0,0.601063829787234
TIC138168780,6.31953,73.827567,237.062,True,True,True,False,1.0,0.7074468085106383
TIC137500798,8.842334,82.92712,338.7878,True,True,True,True,1.0,1.0
TIC302518439,8.941336,72.533275,,True,True,True,False,1.0,0.6648936170212766
TIC219698776,9.048843,71.636416,43.2404,True,True,True,False,1.0,0.6063829787234043
TIC142748283,10.107913,74.827211,,True,True,True,False,1.0,0.8776595744680851
TIC103633672,10.148232,70.394557,84.7838,True,True,True,False,1.0,0.5531914893617021
TIC349827430,10.793937,71.655732,96.7867,True,True,True,False,1.0,0.6436170212765957
TIC147950620,11.188097,69.964773,150.3149,True,True,True,False,1.0,0.5531914893617021
TIC147951030,11.19102,71.540754,138.858,True,True,True,False,1.0,0.648936170212766
TIC900715901,11.599103,75.546629,,True,True,True,False,1.0,0.9840425531914894
TIC365938305,12.048433,74.061009,93.4798,True,True,True,False,1.0,0.851063829787234
TIC160268701,12.169245,77.352263,193.0278,True,True,True,True,1.0,1.0
TIC154568734,12.753193,72.123084,103.2759,True,True,True,False,1.0,0.7180851063829787
TIC198485881,12.982641,77.661716,,True,True,True,True,1.0,1.0
TIC232967440,13.178872,70.768024,132.8604,True,True,True,False,1.0,0.6436170212765957
TIC232967666,13.21016,71.618138,210.6327,True,True,True,False,1.0,0.6968085106382979
TIC232971294,13.296176,71.721051,179.1826,True,True,True,False,1.0,0.7074468085106383
TIC298073824,13.422454,75.982713,310.7134,True,True,True,True,1.0,1.0
TIC153951307,13.425489,68.836068,,True,True,True,False,1.0,0.5425531914893617
TIC219436394,13.706231,76.647981,164.7609,True,True,True,True,1.0,1.0
TIC219462190,13.870197,75.165261,132.0428,True,True,True,False,1.0,0.9946808510638298
TIC154089169,13.947814,68.618204,94.8965,True,True,True,False,1.0,0.5425531914893617
TIC219466784,13.990561,74.151228,115.7943,True,True,True,False,1.0,0.9042553191489362
TIC160045097,14.205251,74.411791,,True,True,True,False,1.0,0.9308510638297872
TIC233182695,14.602892,68.940695,148.6348,True,True,True,False,1.0,0.574468085106383
TIC288185138,14.856097,82.952254,225.8866,True,True,True,True,1.0,1.0
TIC219015370,14.872843,70.476557,335.8635,True,True,True,False,1.0,0.6648936170212766
TIC159244568,15.145332,82.446925,151.7658,True,True,True,True,1.0,1.0
TIC232540264,15.191191,71.841296,74.0291,True,True,True,False,1.0,0.7553191489361702
TIC272635712,15.410809,67.464751,130.7155,True,True,True,False,1.0,0.5159574468085106
TIC272672133,15.616119,67.452579,,True,True,True,False,1.0,0.5212765957446809
TIC272679240,15.634153,69.017531,138.5867,True,True,True,False,1.0,0.601063829787234
TIC160440924,15.787792,77.232643,366.3406,True,True,True,True,1.0,1.0
TIC272758199,15.821139,71.442944,,True,True,True,False,1.0,0.7446808510638298
TIC160487753,15.868787,74.406742,807.3632,True,True,True,False,1.0,0.9680851063829787
TIC160491359,15.934461,73.07392,95.7799,True,True,True,False,1.0,0.8563829787234043
TIC237099296,16.020132,68.9373,,True,True,True,False,1.0,0.6063829787234043
TIC237104103,16.088193,70.19004,321.999,True,True,True,False,1.0,0.675531914893617
TIC232982938,16.10415,69.621802,373.9856,True,True,True,False,1.0,0.6436170212765957
TIC232982558,16.117596,67.87764,231.8196,True,True,True,False,1.0,0.5531914893617021
TIC230075227,16.291797,68.894664,92.0726,True,True,True,False,1.0,0.6063829787234043
TIC230087585,16.475042,69.030975,,True,True,True,False,1.0,0.6170212765957447
TIC230088370,16.490446,71.505872,298.0981,True,True,True,False,1.0,0.7606382978723404
TIC159510109,16.502316,80.307756,97.6134,True,True,True,True,1.0,1.0
TIC233009109,16.550216,72.925534,178.5459,True,True,True,False,1.0,0.8617021276595744
TIC233497719,16.634666,77.756401,574.9109,True,True,True,True,1.0,1.0
TIC367739494,16.692199,80.04588,142.0152,True,True,True,True,1.0,1.0
TIC233500935,16.715993,76.449587,,True,True,True,True,1.0,1.0
TIC230127302,16.741058,70.429992,,True,True,True,False,1.0,0.7021276595744681
TIC356016119,16.942836,70.027316,,True,True,True,False,1.0,0.6808510638297872
TIC356700488,16.96371,68.699581,149.5864,True,True,True,False,1.0,0.6117021276595744
TIC367753709,17.026714,79.067126,,True,True,True,True,1.0,1.0
TIC219850915,17.085304,69.519093,102.8553,True,True,True,False,1.0,0.6595744680851063
TIC219852882,17.108178,68.843303,115.8373,True,True,True,False,1.0,0.6223404255319149
TIC219852584,17.11148,67.871503,392.5879,True,True,True,False,1.0,0.574468085106383
TIC219854185,17.118043,70.238481,326.2962,True,True,True,False,1.0,0.6968085106382979
TIC237108272,17.14263,78.587055,,True,True,True,True,1.0,1.0
TIC219857012,17.155258,71.876672,73.0412,True,True,True,False,1.0,0.8031914893617021
TIC219860288,17.183155,71.872204,41.3249,True,True,True,False,1.0,0.8031914893617021
TIC441732151,17.191783,72.135555,,True,True,True,False,1.0,0.8191489361702128
