Name,RA,DEC,Ever Observable(I-LOFAR),Always Observable(I-LOFAR),Ever Observable(LOFAR-SE),Always Observable(LOFAR-SE),Fraction of observable time (I-LOFAR),Fraction of observable time (LOFAR-SE)
TIC461387302,0.201453,66.65052299999999,True,False,True,True,0.9601593625498008,1.0
TIC407059875,0.364636,66.16811899999999,True,False,True,True,0.8247011952191236,1.0
TIC284050395,0.599325,65.026035,True,False,True,True,0.6533864541832669,1.0
TIC52041724,0.941299,65.679038,True,False,True,True,0.7450199203187251,1.0
TIC468574941,1.0789959999999998,74.33130600000001,True,True,True,True,1.0,1.0
TIC53617134,1.1786729999999999,65.249648,True,False,True,True,0.6892430278884463,1.0
TIC422756130,1.461449,72.296615,True,True,True,True,1.0,1.0
TIC389900760,1.5671540000000002,65.513988,True,False,True,True,0.7330677290836654,1.0
TIC374400599,2.313193,64.356382,True,False,True,True,0.6055776892430279,1.0
TIC302773669,2.829107,71.753088,True,True,True,True,1.0,1.0
TIC408618999,2.8956310000000003,69.101345,True,True,True,True,1.0,1.0
TIC376353509,3.026745,69.229924,True,True,True,True,1.0,1.0
TIC420645189,3.224695,75.26837900000001,True,True,True,True,1.0,1.0
TIC102672709,4.115409,66.119599,True,False,True,True,0.8764940239043825,1.0
TIC103195323,4.171532,75.17093100000001,True,True,True,True,1.0,1.0
TIC103448870,4.455666000000001,73.023689,True,True,True,True,1.0,1.0
TIC468828873,6.124803,66.857699,True,True,True,True,1.0,1.0
TIC339538183,6.22126,63.685007999999996,True,False,True,True,0.6095617529880478,1.0
TIC138168780,6.31953,73.827567,True,True,True,True,1.0,1.0
TIC396740648,6.5165809999999995,66.360596,True,False,True,True,0.9721115537848606,1.0
TIC149833117,6.975236,67.677336,True,True,True,True,1.0,1.0
TIC71347873,7.706225,70.404076,True,True,True,True,1.0,1.0
TIC71431780,7.78648,68.476685,True,True,True,True,1.0,1.0
TIC285048486,8.040778999999999,64.79715300000001,True,False,True,True,0.749003984063745,1.0
TIC302518439,8.941336,72.533275,True,True,True,True,1.0,1.0
TIC219698776,9.048843,71.636416,True,True,True,True,1.0,1.0
TIC147576037,9.622760000000001,68.458703,True,True,True,True,1.0,1.0
TIC142748283,10.107913,74.827211,True,True,True,True,1.0,1.0
TIC103633434,10.147884,69.27662,True,True,True,True,1.0,1.0
TIC103633672,10.148232,70.39455699999999,True,True,True,True,1.0,1.0
TIC355867695,10.476271,65.854199,True,False,True,True,0.9322709163346613,1.0
TIC310981412,10.761852000000001,69.20078000000001,True,True,True,True,1.0,1.0
TIC349827430,10.793937,71.655732,True,True,True,True,1.0,1.0
TIC99834717,11.011147,64.96384499999999,True,False,True,True,0.8167330677290837,1.0
TIC147950620,11.188097,69.964773,True,True,True,True,1.0,1.0
TIC147951030,11.19102,71.540754,True,True,True,True,1.0,1.0
TIC153949511,11.51652,66.796529,True,True,True,True,1.0,1.0
TIC900715901,11.599103,75.54662900000001,True,True,True,True,1.0,1.0
TIC138588540,11.758706,65.541314,True,False,True,True,0.9043824701195219,1.0
TIC365938305,12.048433000000001,74.061009,True,True,True,True,1.0,1.0
TIC160268701,12.169245,77.352263,True,True,True,True,1.0,1.0
TIC148914726,12.470393,67.24003,True,True,True,True,1.0,1.0
TIC154568734,12.753193,72.12308399999999,True,True,True,True,1.0,1.0
TIC142276270,12.812327,64.855277,True,False,True,True,0.8326693227091634,1.0
TIC198485881,12.982641000000001,77.661716,True,True,True,True,1.0,1.0
TIC229536616,13.054742,67.823436,True,True,True,True,1.0,1.0
TIC142381532,13.081315,63.753261,True,False,True,True,0.7290836653386454,1.0
TIC232967440,13.178872,70.768024,True,True,True,True,1.0,1.0
TIC467179528,13.199772,65.833697,True,False,True,True,0.9721115537848606,1.0
TIC232967666,13.21016,71.618138,True,True,True,True,1.0,1.0
TIC142394656,13.225906,62.30538000000001,True,False,True,False,0.6175298804780877,0.72
TIC232971294,13.296176,71.721051,True,True,True,True,1.0,1.0
TIC232976128,13.370772,66.308533,True,True,True,True,1.0,1.0
TIC298073824,13.422454,75.982713,True,True,True,True,1.0,1.0
TIC153951307,13.425489,68.83606800000001,True,True,True,True,1.0,1.0
TIC341544930,13.440978,65.306343,True,False,True,True,0.900398406374502,1.0
TIC153976959,13.569196,67.62123000000001,True,True,True,True,1.0,1.0
TIC219436394,13.706230999999999,76.647981,True,True,True,True,1.0,1.0
TIC219462190,13.870197000000001,75.165261,True,True,True,True,1.0,1.0
TIC154089169,13.947814000000001,68.618204,True,True,True,True,1.0,1.0
TIC219466784,13.990560999999998,74.151228,True,True,True,True,1.0,1.0
TIC160045097,14.205251,74.41179100000001,True,True,True,True,1.0,1.0
TIC233182695,14.602892,68.94069499999999,True,True,True,True,1.0,1.0
TIC288185138,14.856097,82.95225400000001,True,True,True,True,1.0,1.0
TIC219015370,14.872843,70.476557,True,True,True,True,1.0,1.0
TIC202426247,15.097114999999999,64.047682,True,False,True,True,0.7888446215139442,1.0
