target name,ever observable,always observable,fraction of time observable
TIC142276270,True,True,1.0
TIC82010657,True,True,1.0
TIC298666530,True,True,1.0
TIC289580577,True,True,1.0
TIC287139872,True,True,1.0
TIC287080092,True,True,1.0
TIC285048486,True,True,1.0
TIC272672133,True,True,1.0
TIC237099296,True,True,1.0
TIC233684293,True,True,1.0
TIC233602827,True,True,1.0
TIC233071926,True,True,1.0
TIC233071822,True,True,1.0
TIC233009109,True,True,1.0
TIC232650365,True,True,1.0
TIC232635922,True,True,1.0
TIC230386259,True,True,1.0
TIC230377505,True,True,1.0
TIC229938290,True,True,1.0
TIC229455001,True,True,1.0
TIC224596152,True,True,1.0
TIC219860288,True,True,1.0
TIC219857012,True,True,1.0
TIC198206613,True,True,1.0
TIC160045097,True,True,1.0
TIC1551345500,True,True,1.0
TIC149833117,True,True,1.0
TIC137500798,True,True,1.0
TIC87090944,True,True,1.0
TIC310981412,True,True,1.0
TIC332477926,True,True,1.0
TIC356978132,True,True,1.0
TIC142387023,True,True,1.0
TIC272758199,True,True,1.0
TIC258871793,True,True,1.0
TIC237108272,True,True,1.0
TIC235905185,True,True,1.0
TIC233720539,True,True,1.0
TIC232982938,True,True,1.0
TIC229750058,True,True,1.0
TIC229742722,True,True,1.0
TIC229400092,True,True,1.0
TIC224313733,True,True,1.0
TIC207425167,True,True,1.0
TIC160440924,True,True,1.0
TIC142381532,True,True,1.0
TIC364074068,True,True,1.0
TIC99834717,True,True,1.0
TIC86280613,True,True,1.0
TIC85242435,True,True,1.0
TIC71431780,True,True,1.0
TIC51234631,True,True,1.0
TIC441739871,True,True,1.0
TIC424391516,True,True,1.0
TIC420112587,True,True,1.0
TIC408636441,True,True,1.0
TIC408618999,True,True,1.0
TIC367753709,True,True,1.0
TIC365673804,True,True,1.0
TIC85031598,True,True,1.0
TIC81831095,True,True,1.0
TIC376353509,True,True,1.0
TIC73104318,True,True,1.0
TIC417931607,True,True,1.0
TIC417705690,True,True,1.0
TIC147576037,True,True,1.0
TIC416195870,True,True,1.0
TIC415741431,True,True,1.0
TIC414870287,True,True,1.0
TIC410528770,True,True,1.0
TIC405794804,True,True,1.0
TIC396740648,True,True,1.0
TIC395142888,True,True,1.0
TIC389182138,True,True,1.0
TIC388076005,True,True,1.0
TIC387834907,True,True,1.0
TIC387527558,True,True,1.0
TIC387413037,True,True,1.0
TIC387260717,True,True,1.0
TIC387259626,True,True,1.0
TIC384045439,True,True,1.0
TIC378291076,True,True,1.0
TIC377739433,True,True,1.0
TIC377420580,True,True,1.0
TIC377304435,True,True,1.0
TIC377293776,True,True,1.0
TIC377191482,True,True,1.0
TIC377144784,True,True,1.0
TIC376838000,True,True,1.0
TIC376682699,True,True,1.0
TIC418987806,True,True,1.0
TIC420112589,True,True,1.0
TIC420288086,True,True,1.0
TIC459969957,True,True,1.0
TIC64836837,True,True,1.0
TIC64553698,True,True,1.0
TIC52041724,True,True,1.0
TIC51024887,True,True,1.0
TIC50120414,True,True,1.0
TIC470852531,True,True,1.0
TIC470709084,True,True,1.0
TIC468845640,True,True,1.0
TIC468828873,True,True,1.0
TIC467179528,True,True,1.0
TIC461387302,True,True,1.0
TIC459978312,True,True,1.0
TIC458914949,True,True,1.0
TIC421308357,True,True,1.0
TIC455962313,True,True,1.0
TIC445859771,True,True,1.0
TIC444415148,True,True,1.0
TIC441797803,True,True,1.0
TIC441739020,True,True,1.0
TIC441732151,True,True,1.0
TIC434718964,True,True,1.0
TIC431148743,True,True,1.0
TIC430677414,True,True,1.0
TIC427761355,True,True,1.0
TIC427654774,True,True,1.0
TIC422756130,True,True,1.0
TIC307956397,True,True,1.0
TIC341815767,True,True,1.0
TIC377290815,True,True,1.0
TIC103195323,True,True,1.0
TIC356700488,True,True,1.0
TIC356016119,True,True,1.0
TIC346929661,True,True,1.0
TIC334811204,True,True,1.0
TIC329148988,True,True,1.0
TIC322062001,True,True,1.0
TIC321688498,True,True,1.0
TIC316468545,True,True,1.0
TIC315755496,True,True,1.0
TIC314835525,True,True,1.0
TIC298663873,True,True,1.0
TIC298164705,True,True,1.0
TIC289590465,True,True,1.0
TIC288636599,True,True,1.0
TIC288516853,True,True,1.0
TIC285542903,True,True,1.0
TIC284564230,True,True,1.0
TIC284477310,True,True,1.0
TIC284361752,True,True,1.0
TIC280031353,True,True,1.0
TIC272679240,True,True,1.0
TIC265460043,True,True,1.0
TIC265146266,True,True,1.0
TIC264544388,True,True,1.0
TIC264303333,True,True,1.0
TIC264171144,True,True,1.0
TIC258510872,True,True,1.0
TIC362220495,True,True,1.0
TIC367739494,True,True,1.0
TIC367855829,True,True,1.0
TIC428988981,True,True,1.0
TIC71347873,True,True,1.0
TIC53709089,True,True,1.0
TIC53617134,True,True,1.0
TIC470159478,True,True,1.0
TIC470127886,True,True,1.0
TIC468574941,True,True,1.0
TIC462615350,True,True,1.0
TIC445254275,True,True,1.0
TIC441798995,True,True,1.0
TIC441765914,True,True,1.0
TIC441738827,True,True,1.0
TIC441642457,True,True,1.0
TIC427320001,True,True,1.0
TIC375850439,True,True,1.0
TIC422656370,True,True,1.0
TIC420645189,True,True,1.0
TIC417931300,True,True,1.0
TIC407059875,True,True,1.0
TIC406855039,True,True,1.0
TIC405763009,True,True,1.0
TIC402898317,True,True,1.0
TIC400430915,True,True,1.0
TIC394050135,True,True,1.0
TIC394029948,True,True,1.0
TIC389900760,True,True,1.0
TIC378355116,True,True,1.0
TIC258389327,True,True,1.0
TIC243335710,True,True,1.0
TIC243313296,True,True,1.0
TIC198485881,True,True,1.0
TIC229490898,True,True,1.0
TIC224298134,True,True,1.0
TIC219879302,True,True,1.0
TIC219821826,True,True,1.0
TIC219778329,True,True,1.0
TIC219762508,True,True,1.0
TIC219466784,True,True,1.0
TIC219462190,True,True,1.0
TIC219436394,True,True,1.0
TIC207501148,True,True,1.0
TIC207425203,True,True,1.0
TIC202426247,True,True,1.0
TIC198456933,True,True,1.0
TIC229608594,True,True,1.0
TIC198360694,True,True,1.0
TIC198211976,True,True,1.0
TIC198187049,True,True,1.0
TIC198178505,True,True,1.0
TIC165554103,True,True,1.0
TIC165530380,True,True,1.0
TIC160491359,True,True,1.0
TIC159244568,True,True,1.0
TIC154568734,True,True,1.0
TIC147951030,True,True,1.0
TIC142748283,True,True,1.0
TIC103633672,True,True,1.0
TIC229586455,True,True,1.0
TIC229715760,True,True,1.0
TIC237211410,True,True,1.0
TIC233497719,True,True,1.0
TIC237201858,True,True,1.0
TIC237071229,True,True,1.0
TIC236934937,True,True,1.0
TIC236934268,True,True,1.0
TIC235943205,True,True,1.0
TIC235937532,True,True,1.0
TIC235678745,True,True,1.0
TIC233721037,True,True,1.0
TIC233688779,True,True,1.0
TIC233680651,True,True,1.0
TIC233633993,True,True,1.0
TIC233500935,True,True,1.0
TIC233182695,True,True,1.0
TIC229787062,True,True,1.0
TIC233078665,True,True,1.0
TIC233068569,True,True,1.0
TIC233066156,True,True,1.0
TIC233047097,True,True,1.0
TIC232641326,True,True,1.0
TIC230387153,True,True,1.0
TIC230386397,True,True,1.0
TIC230375747,True,True,1.0
TIC230087585,True,True,1.0
TIC230075227,True,True,1.0
TIC230001847,True,True,1.0
TIC229791084,True,True,1.0
TIC376637093,True,True,1.0
TIC900715901,True,True,1.0
TIC375506058,True,True,1.0
TIC284441182,True,True,1.0
TIC283722336,True,True,1.0
TIC277566483,True,True,1.0
TIC229650439,True,True,1.0
TIC277507814,True,True,1.0
TIC229747848,True,True,1.0
TIC229770036,True,True,1.0
TIC229781583,True,True,1.0
TIC276380902,True,True,1.0
TIC229940491,True,True,1.0
TIC276360911,True,True,1.0
TIC275501623,True,True,1.0
TIC272828463,True,True,1.0
TIC272635712,True,True,1.0
TIC272625214,True,True,1.0
TIC272049972,True,True,1.0
TIC270238522,True,True,1.0
TIC269701147,True,True,1.0
TIC269509393,True,True,1.0
TIC229944666,True,True,1.0
TIC284050395,True,True,1.0
TIC229536616,True,True,1.0
TIC198390247,True,True,1.0
TIC224600500,True,True,1.0
TIC237232044,True,True,1.0
