Name         Time      RA        DEC       freqrng      dur 
B0329+54     07:03:00 0.929341 0.949648 110e6:190.2e6 3m
TIC348135793 07:07:00 0.599991 0.984741 110e6:190.2e6 15m
TIC249945230 07:23:00 0.677366 0.842536 110e6:190.2e6 15m
TIC302773669 07:39:00 0.740658 1.252328 110e6:190.2e6 15m
TIC251384275 07:55:00 0.780515 1.025123 110e6:190.2e6 15m
TIC420645189 08:11:00 0.844223 1.313681 110e6:190.2e6 15m
TIC385105624 08:27:00 0.886769 0.814757 110e6:190.2e6 15m
TIC104208182 08:43:00 0.951242 0.889335 110e6:190.2e6 15m
TIC87090944  08:59:00 1.020784 1.029191 110e6:190.2e6 15m
TIC102672709 09:15:00 1.077412 1.154005 110e6:190.2e6 15m
TIC470381900 09:31:00 1.139362 0.852067 110e6:190.2e6 15m
