Name,RA,DEC,Distance (pc),Ever Observable(I),Always Observable(I),Ever Observable(SE),Always Observable(SE),Fraction of observable time (SE),Fraction of observable time (SE)
TIC432549364,0.02414,39.383795,270.4896,True,False,True,False,0.365296803652968,0.365296803652968
TIC346929661,0.06517,59.334681,204.7586,True,False,True,False,0.5616438356164384,0.5616438356164384
TIC347013211,0.074617,54.934497,370.8098,True,False,True,False,0.5159817351598174,0.5159817351598174
TIC194203348,0.079788,41.59388,211.1308,True,False,True,False,0.4246575342465753,0.4246575342465753
TIC354594208,0.125854,32.437529999999995,163.8431,True,False,True,False,0.1872146118721461,0.1872146118721461
TIC396356111,0.17330399999999999,58.489439000000004,,True,False,True,False,0.5525114155251142,0.5525114155251142
TIC461387302,0.201453,66.65052299999999,236.0439,True,False,True,False,0.5844748858447488,0.5844748858447488
TIC403256331,0.283289,58.679253,889.0469,True,False,True,False,0.5525114155251142,0.5525114155251142
TIC440100539,0.290568,42.282204,96.7904,True,False,True,False,0.4429223744292237,0.4429223744292237
TIC327579226,0.315749,57.200629000000006,261.5063,True,False,True,False,0.5342465753424658,0.5342465753424658
TIC403308915,0.34659,55.542814,389.4688,True,False,True,False,0.5159817351598174,0.5159817351598174
TIC407394748,0.361377,77.880071,,True,False,True,False,0.5114155251141552,0.5114155251141552
TIC407059875,0.364636,66.16811899999999,108.414,True,False,True,False,0.5844748858447488,0.5844748858447488
TIC202375913,0.39769699999999997,51.468293,488.7108,True,False,True,False,0.4840182648401826,0.4840182648401826
TIC127425841,0.402041,40.165571,359.2857,True,False,True,False,0.3926940639269406,0.3926940639269406
TIC354600221,0.404978,57.881718000000006,242.8776,True,False,True,False,0.54337899543379,0.54337899543379
TIC444415148,0.42059399999999997,62.543115,683.7607,True,False,True,False,0.6118721461187214,0.6118721461187214
TIC418987806,0.43462799999999996,63.319412,486.2867,True,False,True,False,0.6210045662100456,0.6210045662100456
TIC190998418,0.470262,42.061345,,True,False,True,False,0.4429223744292237,0.4429223744292237
TIC320506985,0.544238,54.654593999999996,288.2177,True,False,True,False,0.5114155251141552,0.5114155251141552
TIC191146556,0.553625,46.340305,285.1196,True,False,True,False,0.4611872146118721,0.4611872146118721
TIC284050395,0.599325,65.026035,104.6726,True,False,True,False,0.593607305936073,0.593607305936073
TIC240681314,0.630583,51.288778,374.056,True,False,True,False,0.4840182648401826,0.4840182648401826
TIC191284318,0.638202,42.463096,228.003,True,False,True,False,0.45662100456621,0.45662100456621
TIC284441182,0.67261,61.213387,,True,False,True,False,0.589041095890411,0.589041095890411
TIC420288086,0.7308479999999999,61.835626,708.4662,True,False,True,False,0.5981735159817352,0.5981735159817352
TIC312259170,0.7361850000000001,59.464498,996.6115,True,False,True,False,0.5662100456621004,0.5662100456621004
TIC445144327,0.7489439999999999,58.712058,818.9337,True,False,True,False,0.5525114155251142,0.5525114155251142
TIC445137888,0.7534930000000001,56.070057999999996,807.624,True,False,True,False,0.5251141552511416,0.5251141552511416
TIC445254275,0.8144100000000001,59.386718,934.4048,True,False,True,False,0.5616438356164384,0.5616438356164384
TIC312469860,0.858762,55.710926,,True,False,True,False,0.5205479452054794,0.5205479452054794
TIC283474780,0.8678450000000001,36.393013,248.8491,True,False,True,False,0.3059360730593607,0.3059360730593607
TIC285543785,0.881468,60.891684999999995,,True,False,True,False,0.589041095890411,0.589041095890411
TIC285542903,0.8846700000000001,60.618111999999996,937.4707,True,False,True,False,0.5799086757990868,0.5799086757990868
TIC312678993,0.90649,54.528009,,True,False,True,False,0.5114155251141552,0.5114155251141552
TIC306955329,0.940951,48.637516999999995,122.2464,True,False,True,False,0.4703196347031963,0.4703196347031963
TIC52041724,0.941299,65.679038,280.7727,True,False,True,False,0.5799086757990868,0.5799086757990868
TIC307111282,0.976008,50.936428,187.6666,True,False,True,False,0.4840182648401826,0.4840182648401826
TIC53875855,0.9768629999999999,34.148042,206.0878,True,False,True,False,0.2465753424657534,0.2465753424657534
TIC312862941,1.021436,55.69801,126.7443,True,False,True,False,0.5205479452054794,0.5205479452054794
TIC352413427,1.039876,37.185439,67.7521,True,False,True,False,0.3287671232876712,0.3287671232876712
TIC256414077,1.040433,60.715522,379.9103,True,False,True,False,0.5844748858447488,0.5844748858447488
TIC468574941,1.0789959999999998,74.33130600000001,292.0902,True,False,True,False,0.502283105022831,0.502283105022831
TIC53617134,1.1786729999999999,65.249648,,True,False,True,False,0.5799086757990868,0.5799086757990868
TIC53709089,1.182447,61.09210699999999,,True,False,True,False,0.589041095890411,0.589041095890411
TIC435680451,1.194334,79.165492,175.0731,True,False,True,False,0.5068493150684932,0.5068493150684932
TIC240968774,1.27431,49.233138000000004,37.4824,True,False,True,False,0.4748858447488584,0.4748858447488584
