Name,RA,DEC,Distance (pc),Ever Observable(I),Always Observable(I),Ever Observable(SE),Always Observable(SE),Fraction of observable time (I),Fraction of observable time (SE)
TIC346929661,0.06517,59.334681,204.7586,True,True,True,True,1.0,1.0
TIC347013211,0.074617,54.934497,370.8098,True,True,True,False,1.0,0.9574468085106383
TIC396356111,0.173304,58.489439,,True,True,True,True,1.0,1.0
TIC461387302,0.201453,66.650523,236.0439,True,True,True,True,1.0,1.0
TIC403256331,0.283289,58.679253,889.0469,True,True,True,True,1.0,1.0
TIC327579226,0.315749,57.200629,261.5063,True,True,True,True,1.0,1.0
TIC403308915,0.34659,55.542814,389.4688,True,True,True,True,1.0,1.0
TIC407059875,0.364636,66.168119,108.414,True,True,True,True,1.0,1.0
TIC202375913,0.397697,51.468293,488.7108,True,True,True,False,1.0,0.7553191489361702
TIC354600221,0.404978,57.881718,242.8776,True,True,True,True,1.0,1.0
TIC444415148,0.420594,62.543115,683.7607,True,True,True,True,1.0,1.0
TIC418987806,0.434628,63.319412,486.2867,True,True,True,True,1.0,1.0
TIC320506985,0.544238,54.654594,288.2177,True,True,True,False,1.0,0.9468085106382979
TIC284050395,0.599325,65.026035,104.6726,True,True,True,True,1.0,1.0
TIC240681314,0.630583,51.288778,374.056,True,True,True,False,1.0,0.75
TIC284441182,0.67261,61.213387,,True,True,True,True,1.0,1.0
TIC420288086,0.730848,61.835626,708.4662,True,True,True,True,1.0,1.0
TIC312259170,0.736185,59.464498,996.6115,True,True,True,True,1.0,1.0
TIC445144327,0.748944,58.712058,818.9337,True,True,True,True,1.0,1.0
TIC445137888,0.753493,56.070058,807.624,True,True,True,True,1.0,1.0
TIC445254275,0.81441,59.386718,934.4048,True,True,True,True,1.0,1.0
TIC312469860,0.858762,55.710926,,True,True,True,True,1.0,1.0
TIC285543785,0.881468,60.891685,,True,True,True,True,1.0,1.0
TIC285542903,0.88467,60.618112,937.4707,True,True,True,True,1.0,1.0
TIC312678993,0.90649,54.528009,,True,True,True,False,1.0,0.9468085106382979
TIC306955329,0.940951,48.637517,122.2464,True,True,True,False,1.0,0.6223404255319149
TIC52041724,0.941299,65.679038,280.7727,True,True,True,True,1.0,1.0
TIC307111282,0.976008,50.936428,187.6666,True,True,True,False,1.0,0.7393617021276596
TIC312862941,1.021436,55.69801,126.7443,True,True,True,True,1.0,1.0
TIC256414077,1.040433,60.715522,379.9103,True,True,True,True,1.0,1.0
TIC468574941,1.078996,74.331306,292.0902,True,True,True,True,1.0,1.0
TIC53617134,1.178673,65.249648,,True,True,True,True,1.0,1.0
TIC53709089,1.182447,61.092107,,True,True,True,True,1.0,1.0
TIC240968774,1.27431,49.233138,37.4824,True,True,True,False,1.0,0.6595744680851063
TIC332154944,1.285242,57.514232,144.1691,True,True,True,True,1.0,1.0
TIC241040309,1.38116,48.955364,698.2265,True,True,True,False,1.0,0.6436170212765957
TIC241065596,1.44908,49.388653,835.4219,True,True,True,False,1.0,0.6702127659574468
TIC422756130,1.461449,72.296615,45.1898,True,True,True,True,1.0,1.0
TIC389900760,1.567154,65.513988,32.2054,True,True,True,True,1.0,1.0
TIC71854745,1.753295,54.56844,763.7669,True,True,True,False,1.0,0.9680851063829787
TIC354400186,1.849202,48.352316,531.2932,True,True,True,False,1.0,0.6276595744680851
TIC370759867,1.87757,55.185971,124.9922,True,True,True,True,1.0,1.0
TIC354469661,1.885505,52.053921,234.7583,True,True,True,False,1.0,0.8191489361702128
TIC241076290,1.935524,52.585482,568.2787,True,True,True,False,1.0,0.851063829787234
TIC374400599,2.313193,64.356382,390.442,True,True,True,True,1.0,1.0
TIC348673213,2.387155,56.570014,,True,True,True,True,1.0,1.0
TIC245462406,2.588113,55.703217,560.3497,True,True,True,True,1.0,1.0
TIC50120414,2.659407,62.433306,,True,True,True,True,1.0,1.0
TIC408618999,2.895631,69.101345,89.1758,True,True,True,True,1.0,1.0
TIC285666479,2.907377,52.07103,772.0815,True,True,True,False,1.0,0.8404255319148937
TIC376353509,3.026745,69.229924,69.9761,True,True,True,True,1.0,1.0
TIC117322779,3.223484,49.783757,,True,True,True,False,1.0,0.7287234042553191
