Name,RA,DEC,Ever Observable(I-LOFAR),Always Observable(I-LOFAR),Ever Observable(LOFAR-SE),Always Observable(LOFAR-SE),Fraction of observable time (I-LOFAR),Fraction of observable time (LOFAR-SE)
TIC346929661,0.06517,59.334681,True,True,True,True,1.0,1.0
TIC347013211,0.074617,54.934497,True,True,True,False,1.0,0.6276595744680851
TIC396356111,0.17330399999999999,58.489439000000004,True,True,True,False,1.0,0.925531914893617
TIC461387302,0.201453,66.65052299999999,True,True,True,True,1.0,1.0
TIC403256331,0.283289,58.679253,True,True,True,False,1.0,0.9468085106382979
TIC327579226,0.315749,57.200629000000006,True,True,True,False,1.0,0.8085106382978723
TIC403308915,0.34659,55.542814,True,True,True,False,1.0,0.6808510638297872
TIC407059875,0.364636,66.16811899999999,True,True,True,True,1.0,1.0
TIC354600221,0.404978,57.881718000000006,True,True,True,False,1.0,0.8723404255319149
TIC444415148,0.42059399999999997,62.543115,True,True,True,True,1.0,1.0
TIC418987806,0.43462799999999996,63.319412,True,True,True,True,1.0,1.0
TIC320506985,0.544238,54.654593999999996,True,True,True,False,1.0,0.6223404255319149
TIC284050395,0.599325,65.026035,True,True,True,True,1.0,1.0
TIC284441182,0.67261,61.213387,True,True,True,True,1.0,1.0
TIC420288086,0.7308479999999999,61.835626,True,True,True,True,1.0,1.0
TIC312259170,0.7361850000000001,59.464498,True,True,True,True,1.0,1.0
TIC445144327,0.7489439999999999,58.712058,True,True,True,False,1.0,0.9574468085106383
TIC445137888,0.7534930000000001,56.070057999999996,True,True,True,False,1.0,0.7287234042553191
TIC445254275,0.8144100000000001,59.386718,True,True,True,True,1.0,1.0
TIC312469860,0.858762,55.710926,True,True,True,False,1.0,0.7021276595744681
TIC285543785,0.881468,60.891684999999995,True,True,True,True,1.0,1.0
TIC285542903,0.8846700000000001,60.618111999999996,True,True,True,True,1.0,1.0
TIC312678993,0.90649,54.528009,True,True,True,False,1.0,0.6223404255319149
TIC52041724,0.941299,65.679038,True,True,True,True,1.0,1.0
TIC312862941,1.021436,55.69801,True,True,True,False,1.0,0.7074468085106383
TIC256414077,1.040433,60.715522,True,True,True,True,1.0,1.0
TIC468574941,1.0789959999999998,74.33130600000001,True,True,True,True,1.0,1.0
TIC53617134,1.1786729999999999,65.249648,True,True,True,True,1.0,1.0
