target name,ever observable,always observable,fraction of time observable
TIC142276270,True,True,1.0
TIC160045097,True,True,1.0
TIC233684293,True,True,1.0
TIC233602827,True,True,1.0
TIC233009109,True,True,1.0
TIC230386259,True,True,1.0
TIC229938290,True,True,1.0
TIC219860288,True,True,1.0
TIC219857012,True,True,1.0
TIC198206613,True,True,1.0
TIC149833117,True,True,1.0
TIC272672133,True,True,1.0
TIC52041724,True,True,1.0
TIC468828873,True,True,1.0
TIC467179528,True,True,1.0
TIC461387302,True,True,1.0
TIC459978312,True,True,1.0
TIC459969957,True,True,1.0
TIC455962313,True,True,1.0
TIC444415148,True,True,1.0
TIC237099296,True,True,1.0
TIC285048486,True,True,1.0
TIC237108272,True,True,1.0
TIC71431780,True,True,1.0
TIC233720539,True,True,1.0
TIC232982938,True,True,1.0
TIC229750058,True,True,1.0
TIC229742722,True,True,1.0
TIC229400092,True,True,1.0
TIC160440924,True,True,1.0
TIC142381532,True,True,1.0
TIC99834717,True,True,1.0
TIC441739871,True,True,1.0
TIC287080092,True,True,1.0
TIC424391516,True,True,1.0
TIC420112587,True,True,1.0
TIC408636441,True,True,1.0
TIC408618999,True,True,1.0
TIC367753709,True,True,1.0
TIC365673804,True,True,1.0
TIC364074068,True,True,1.0
TIC310981412,True,True,1.0
TIC441797803,True,True,1.0
TIC441739020,True,True,1.0
TIC441732151,True,True,1.0
TIC356867115,True,True,1.0
TIC374400599,True,True,1.0
TIC372264750,True,True,1.0
TIC367102581,True,True,1.0
TIC367099243,True,True,1.0
TIC366074069,True,True,1.0
TIC365938305,True,True,1.0
TIC365733349,True,True,1.0
TIC364186197,True,True,1.0
TIC355867695,True,True,1.0
TIC434718964,True,True,1.0
TIC352764091,True,True,1.0
TIC350132371,True,True,1.0
TIC339538183,True,True,1.0
TIC335483600,True,True,1.0
TIC322202434,True,True,1.0
TIC322054600,True,True,1.0
TIC321857016,True,True,1.0
TIC317507345,True,True,1.0
TIC376353509,True,True,1.0
TIC376637093,True,True,1.0
TIC376682699,True,True,1.0
TIC376838000,True,True,1.0
TIC427761355,True,True,1.0
TIC427654774,True,True,1.0
TIC422756130,True,True,1.0
TIC420112589,True,True,1.0
TIC418987806,True,True,1.0
TIC417705690,True,True,1.0
TIC147576037,True,True,1.0
TIC405794804,True,True,1.0
TIC396740648,True,True,1.0
TIC388076005,True,True,1.0
TIC387834907,True,True,1.0
TIC387527558,True,True,1.0
TIC387413037,True,True,1.0
TIC387260717,True,True,1.0
TIC387259626,True,True,1.0
TIC377739433,True,True,1.0
TIC377144784,True,True,1.0
TIC235905185,True,True,1.0
TIC258871793,True,True,1.0
TIC302773669,True,True,1.0
TIC288636599,True,True,1.0
TIC356700488,True,True,1.0
TIC356016119,True,True,1.0
TIC334811204,True,True,1.0
TIC322062001,True,True,1.0
TIC321688498,True,True,1.0
TIC316468545,True,True,1.0
TIC315755496,True,True,1.0
TIC289590465,True,True,1.0
TIC288516853,True,True,1.0
TIC367739494,True,True,1.0
TIC280031353,True,True,1.0
TIC272679240,True,True,1.0
TIC265460043,True,True,1.0
TIC265146266,True,True,1.0
TIC264544388,True,True,1.0
TIC264303333,True,True,1.0
TIC264171144,True,True,1.0
TIC258510872,True,True,1.0
TIC362220495,True,True,1.0
TIC367855829,True,True,1.0
TIC272758199,True,True,1.0
TIC428988981,True,True,1.0
TIC71347873,True,True,1.0
TIC53617134,True,True,1.0
TIC470159478,True,True,1.0
TIC470127886,True,True,1.0
TIC468574941,True,True,1.0
TIC441798995,True,True,1.0
TIC441765914,True,True,1.0
TIC441738827,True,True,1.0
TIC427320001,True,True,1.0
TIC375850439,True,True,1.0
TIC422656370,True,True,1.0
TIC420645189,True,True,1.0
TIC407059875,True,True,1.0
TIC406855039,True,True,1.0
TIC402898317,True,True,1.0
TIC394050135,True,True,1.0
TIC394029948,True,True,1.0
TIC389900760,True,True,1.0
TIC258389327,True,True,1.0
TIC237211410,True,True,1.0
TIC237201858,True,True,1.0
TIC198485881,True,True,1.0
TIC219879302,True,True,1.0
TIC219821826,True,True,1.0
TIC219778329,True,True,1.0
TIC219762508,True,True,1.0
TIC219466784,True,True,1.0
TIC219462190,True,True,1.0
TIC219436394,True,True,1.0
TIC202426247,True,True,1.0
TIC198211976,True,True,1.0
TIC236934937,True,True,1.0
TIC160491359,True,True,1.0
TIC159244568,True,True,1.0
TIC154568734,True,True,1.0
TIC147951030,True,True,1.0
TIC142748283,True,True,1.0
TIC103633672,True,True,1.0
TIC103195323,True,True,1.0
TIC307956397,True,True,1.0
TIC229490898,True,True,1.0
TIC229586455,True,True,1.0
TIC229608594,True,True,1.0
TIC229715760,True,True,1.0
TIC236934268,True,True,1.0
TIC235943205,True,True,1.0
TIC235937532,True,True,1.0
TIC235678745,True,True,1.0
TIC233721037,True,True,1.0
TIC233680651,True,True,1.0
TIC233500935,True,True,1.0
TIC233497719,True,True,1.0
TIC233182695,True,True,1.0
TIC233068569,True,True,1.0
TIC230387153,True,True,1.0
TIC230386397,True,True,1.0
TIC230375747,True,True,1.0
TIC230087585,True,True,1.0
TIC230075227,True,True,1.0
TIC229791084,True,True,1.0
TIC229787062,True,True,1.0
TIC317397615,True,True,1.0
TIC900715901,True,True,1.0
TIC138588540,True,True,1.0
TIC233684822,True,True,1.0
TIC270238522,True,True,1.0
TIC202504234,True,True,1.0
TIC272049972,True,True,1.0
TIC219015370,True,True,1.0
TIC236887394,True,True,1.0
TIC272635712,True,True,1.0
TIC459970307,True,True,1.0
TIC236714379,True,True,1.0
TIC458478250,True,True,1.0
TIC219698776,True,True,1.0
TIC288631580,True,True,1.0
TIC284050395,True,True,1.0
TIC219850915,True,True,1.0
TIC219852584,True,True,1.0
TIC233681149,True,True,1.0
TIC349827430,True,True,1.0
TIC341544930,True,True,1.0
TIC219852882,True,True,1.0
TIC302518439,True,True,1.0
TIC289539327,True,True,1.0
TIC102672709,True,True,1.0
TIC269701147,True,True,1.0
TIC237104103,True,True,1.0
TIC103448870,True,True,1.0
TIC1718201850,True,True,1.0
TIC153976959,True,True,1.0
TIC153951307,True,True,1.0
TIC153949511,True,True,1.0
TIC258514800,True,True,1.0
TIC258777134,True,True,1.0
TIC258801269,True,True,1.0
TIC198186769,True,True,1.0
TIC258829450,True,True,1.0
TIC259126549,True,True,1.0
TIC259129875,True,True,1.0
TIC138168780,True,True,1.0
TIC259168516,True,True,1.0
TIC198241702,True,True,1.0
TIC259172391,True,True,1.0
TIC237232044,True,True,1.0
TIC237222864,True,True,1.0
TIC237200747,True,True,1.0
TIC103633434,True,True,1.0
TIC288185138,True,True,1.0
TIC235683377,True,True,1.0
TIC233617847,True,True,1.0
TIC232971294,True,True,1.0
TIC232612416,True,True,1.0
TIC232540264,True,True,1.0
TIC229747848,True,True,1.0
TIC258777137,True,True,1.0
